,id,film,year,awards,nominations
197,c3c4df7b-8e70-42a8-9a5a-0cc6dcc6ffcd,Alice in Wonderland,2010,2,3
198,62e120f9-7a86-4233-9672-f6c68450370a,Black Swan,2010,1,5
199,b3d8f094-33fd-4367-b762-9e1bc57c3ec2,In a Better World,2010,1,1
200,fe7e5ea6-a102-4ba3-b971-1f081029cb95,The Lost Thing,2010,1,1
201,1cc8ed8a-6986-42dc-be12-17dddba61a75,God of Love,2010,1,1
202,bf7432dc-c773-4a86-8a33-eceff9c174e5,The Wolfman,2010,1,1
203,f24c2e81-8f97-497c-ae89-7ed1e8bdaf4e,Strangers No More,2010,1,1
204,1955d7eb-fe28-4ae4-9039-3041b41e1135,Inside Job,2010,1,1
205,27e12f81-c4ef-4c83-9680-9b261324ec25,The Hurt Locker,2009,6,9
206,ee876c7d-bf94-4dc2-b264-c6214d016ee9,Avatar,2009,3,9
207,e0b7ce91-08c5-4d84-956f-5a1aa460f396,Precious,2009,2,6
208,c57bfe33-1ff3-47d3-ab23-9ebe9bfbe036,Up,2009,2,5
209,acd4e12a-ba0f-4d95-bfc9-f8f541d044f2,Crazy Heart,2009,2,3
210,7b474c72-a50c-441a-bbaf-d793afc5e211,Inglourious Basterds,2009,1,8
211,f6b678e4-751b-40d4-b4b6-d7f5f560613d,Star Trek,2009,1,4
212,88262d74-0ea4-4786-bb16-35801ef8002b,The Young Victoria,2009,1,3
213,522f24d7-26fb-4b3e-b2ab-9d2357d06ee5,The Blind Side,2009,1,2
214,b3eadbb3-f23f-4424-a427-ac51384f4123,Music by Prudence,2009,1,1
215,04fc79af-09ed-4923-ba0d-5d8a98de4aa1,The Secret in Their Eyes,2009,1,1
216,0f9cbc5c-e694-4214-984f-976af0386a0d,The Cove,2009,1,1
217,7ccf4fb8-04b2-4dfb-84e6-d5d01571fe54,The New Tenants,2009,1,1
218,276b3354-f0b3-4bc0-994e-57cbe6f2a80b,Logorama,2009,1,1
219,68f7d7f2-1237-4e48-8776-6ebf9e5f1c0f,Slumdog Millionaire,2008,8,10
220,a3eb6710-7aee-40ab-a430-d65059a39d3f,The Curious Case of Benjamin Button,2008,3,13
221,8b21d8cf-e159-4515-b5a9-4c9e8d1dce7e,Milk,2008,2,8
222,c09f70bb-835c-44c2-852e-3abdcd727408,The Dark Knight,2008,2,8
223,b99ab61c-3dc1-4061-b318-6f345b1ae67f,WALL-E,2008,1,6
224,157d74a6-ac45-41e4-b5d3-7098133e9579,The Reader,2008,1,5
225,39702fa1-74db-4c1a-bbae-968b367f1fb5,The Duchess,2008,1,2
226,750e221d-db3c-42b3-81ab-e04ee0af0da0,Departures,2008,1,1
227,f28fd6b2-5662-48f6-bf26-56a2b14ce4d1,Vicky Cristina Barcelona,2008,1,1
228,0e97791a-440b-414e-8c0b-4bc23abc1089,Smile Pinki,2008,1,1
229,d6b749c3-13b9-41dd-9789-a25a2cec2f5d,Man on Wire,2008,1,1
230,d75b2bef-4342-4d73-b056-f131d3beed1d,Toyland,2008,1,1
231,8f0886fe-94a3-448c-a352-f0668dffacd6,La Maison en Petits Cubes,2008,1,1
232,6a86fda5-15a2-49d2-bf6a-5b9eb8702c89,No Country for Old Men,2007,4,8
233,124f773f-e50b-4f36-af0e-8d3bfc523abb,The Bourne Ultimatum,2007,3,3
234,7eb4eed6-4863-473b-b405-7d49e8c3c471,There Will Be Blood,2007,2,8
235,e767d252-ac1e-4809-935f-a098210d5736,La Vie en rose,2007,2,3
236,fa85ab22-eb64-4dfd-b82c-2da31ab86b74,Atonement,2007,1,7
237,f3010136-9485-4831-8001-a2e1659561aa,Michael Clayton,2007,1,7
238,6055d9ce-a577-4853-b769-dc33165b2eb9,Ratatouille,2007,1,5
239,da85f496-c29f-4097-97de-72b83cd45924,Juno,2007,1,4
240,a95b1af9-f399-488e-b327-a49f3c2c2818,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
241,223c46a1-3052-4701-a8b1-35973e5d7d45,The Golden Compass,2007,1,2
242,72d822e9-1424-4ee9-99aa-eafd23e6c310,Elizabeth: The Golden Age,2007,1,2
243,48f64305-6f48-4019-9485-2832e4c06ba0,Taxi to the Dark Side,2007,1,1
244,7f6603f6-0453-47b5-bdc5-c462ffde89bb,Peter & the Wolf,2007,1,1
245,d44c3cfa-5dc3-4b9b-9cab-939f75c1a044,Once,2007,1,1
246,bd951c80-640e-49e3-abed-0a330c98e7ee,Le Mozart des pickpockets,2007,1,1
247,fd12310a-8b41-4d64-b389-28b32c59c564,The Counterfeiters (Die Fälscher),2007,1,1
248,94b44fda-eafc-4e8d-87cf-672f7f2b2ba2,Freeheld,2007,1,1
249,6e538305-f62c-40fb-87a8-ea355d04ee4e,The Departed,2006,4,5
250,3d2a7fe9-f75c-4943-877c-3ecf4997050c,Pan's Labyrinth (El laberinto del fauno),2006,3,6
251,c221ee45-a097-4b46-8edd-3b8c882c02df,Dreamgirls,2006,2,8
252,1dbc9c54-1291-458d-b215-9d1b8107283c,Little Miss Sunshine,2006,2,4
253,0e3c0de7-7554-42f5-9d10-b2729c6ce8cf,An Inconvenient Truth,2006,2,2
254,ab7ac4f2-7dfa-4b32-bcb2-48f3eab50b29,Babel,2006,1,7
255,6f9b5747-29a1-44dd-a728-b4ab1c44da53,The Queen,2006,1,6
256,ae1c3ceb-6c73-4fe7-9be3-5b07ce6d1f83,Letters from Iwo Jima,2006,1,4
257,43730017-cc29-4d60-85d0-e4abd9f5add4,Pirates of the Caribbean: Dead Man's Chest,2006,1,4
258,ec7e6df3-4b77-48ec-9ec5-3bfa32cc910b,The Danish Poet,2006,1,1
259,37de89b8-c120-406b-9f7b-43bd74d344ea,Happy Feet,2006,1,1
260,8fe2be4c-291f-406e-9b36-cb9d0b6cb2dc,The Last King of Scotland,2006,1,1
261,ce65f1f3-4ebe-439a-93e6-4c2fc1902c52,The Lives of Others (Das Leben der Anderen),2006,1,1
262,accf4cf6-452f-4a3c-871e-1f2dd49c80c1,Marie Antoinette,2006,1,1
263,d4881475-5f3c-47a5-bbd8-f741088e869a,West Bank Story,2006,1,1
264,163d3651-6a46-4e14-a506-e5872e2e0918,The Blood of Yingzhou District,2006,1,1
265,ea01d497-2c83-472c-aada-86b43f96e3bb,Crash,2005,3,6
266,9513f8fb-fefb-49b1-90f4-3492620debb9,Brokeback Mountain,2005,3,8
267,6b791652-25e0-45d1-8bbf-15d51801d841,Memoirs of a Geisha,2005,3,6
268,fbb1cda5-5e84-45a5-9f4a-18a840d751a9,King Kong,2005,3,4
269,2f5642f7-e954-43a2-be3d-5b03ebcc7fd9,Capote,2005,1,5
270,d53df3da-1d08-4118-a7f4-e01838586817,Walk the Line,2005,1,5
271,aeb66e87-5748-4a4a-8dbd-6d2c503ade12,The Constant Gardener,2005,1,4
272,85990ee9-7385-4cdf-815b-1988785bb45c,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
273,67625b94-65d8-4689-bf1f-679aec62fc29,Hustle & Flow,2005,1,2
274,ce4a34e1-1d09-40c2-b822-6be29e4213cb,Syriana,2005,1,2
275,3c1e4347-6854-46e6-be79-9cb714867cc7,March of the Penguins (La Marche de l'empereur),2005,1,1
276,119f5713-130c-4f79-814e-4197b8acce18,Six Shooter,2005,1,1
277,77a6f5e5-2605-4cb2-bde0-523efd28c16f,The Moon and the Son: An Imagined Conversation,2005,1,1
278,be9881e0-bc08-4944-89fb-5508c5ae4cd6,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
279,4a153c1a-c4b8-45a9-83fa-b838c5d3c4fd,Tsotsi,2005,1,1
280,538cf264-89e1-4299-b88a-ffa9bd482e0b,Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1
281,2553e290-327d-47f4-a9df-1ee069743fdb,Million Dollar Baby,2004,4,7
282,57e4783d-9be5-46dc-823f-2862b2a62ed1,The Aviator,2004,5,11
283,e46d129f-3154-4cdb-b0e9-be7ef1b994d6,Ray,2004,2,6
284,5149ca40-6bbd-4f48-9c08-8e907d80af70,The Incredibles,2004,2,4
285,4fd9dfdc-071b-44da-a16d-a223835a11ac,Finding Neverland,2004,1,7
286,3bbd51fc-b7f3-46d5-ad00-746e20e3e348,Sideways,2004,1,5
287,debf4854-1e10-4ddc-8e58-b375356780e4,Lemony Snicket's A Series of Unfortunate Events,2004,1,4
288,905628ce-9b47-4ecd-b9a6-0baf061a6f02,Spider-Man 2,2004,1,3
289,5bfc2654-7852-4a33-9ea2-b5a832a7ef72,Eternal Sunshine of the Spotless Mind,2004,1,2
290,3bdd251d-fc6e-4022-805c-3ea732ce12b7,The Motorcycle Diaries,2004,1,2
291,cbfb988c-9e76-4c80-ba37-382e15b2c4b9,The Sea Inside,2004,1,2
292,2f49f9b7-0e6a-43d5-b5e3-c3ede769bd4c,Born into Brothels,2004,1,1
293,275acb62-acca-4362-88b2-8c323c071db1,Mighty Times: The Children's March,2004,1,1
294,538278c8-a4c8-43c8-8542-f97c9e17165f,Wasp,2004,1,1
295,f751eab9-323a-4111-a6a4-a43d79394981,Ryan,2004,1,1
296,9133d014-6f35-4ea5-a15d-f6f777b543ae,The Lord of the Rings: The Return of the King,2003,11,11
297,7eae7836-ffa2-421c-80b6-76d6a4a5cac6,Master and Commander: The Far Side of the World,2003,2,10
298,e8b8d5dd-e54a-4554-a8aa-edb29814c828,Mystic River,2003,2,6
299,ae0b8c81-5ea6-4b99-abe3-d858ed6ae07f,Cold Mountain,2003,1,7
300,05fcb586-b263-4403-b963-95c4d9b06e96,Lost in Translation,2003,1,4
301,ffed0289-68f5-49c2-b90f-6e2cd83af0a8,Finding Nemo,2003,1,4
302,f19da0ee-c557-4d28-8145-573402fa6a39,The Barbarian Invasions,2003,1,2
303,71f99b03-0255-4531-847b-beb640890091,Two Soldiers,2003,1,1
304,166e5f60-8d00-4043-b6b5-6ce26fc9ff76,Monster,2003,1,1
305,78136867-84eb-420c-999b-a2de478219ad,Harvie Krumpet,2003,1,1
306,aa1aef7a-8700-4051-b863-cc6ae5f17764,Chernobyl Heart,2003,1,1
307,067bb0e5-861a-4509-befb-85655aeaa821,The Fog of War,2003,1,1
308,4df22c11-369c-456c-9c25-b9ca7a2a0519,Chicago,2002,6,13
